fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,vintage_year,bottle_size_ml,price_usd,region,grape_variety,oak_aging_months,serving_temp_c,rating
8.62,0.167,0.642,1.91,0.03,63.0,34.0,0.99083,3.33,0.63,14.7,4.0,2021.0,375.0,118.74,Barossa,Tempranillo,27.0,19.9,2.8
14.96,1.062,0.084,8.53,0.181,17.0,105.0,1.00263,3.44,1.38,8.9,8.0,2022.0,500.0,13.63,Douro,Syrah,28.0,14.8,4.7
12.55,0.585,0.162,8.66,0.106,73.0,102.0,0.99077,3.65,0.93,11.4,7.0,2021.0,750.0,76.23,Barossa,Merlot,25.0,18.2,4.8
11.09,0.873,0.899,10.0,0.167,33.0,70.0,0.99027,3.5,1.26,9.9,3.0,2014.0,500.0,22.9,Bordeaux,Merlot,24.0,16.4,3.7
6.22,1.463,0.606,11.22,0.071,29.0,131.0,1.00045,3.56,1.47,11.8,3.0,2022.0,500.0,42.37,Douro,,11.0,16.6,4.0
6.22,0.489,0.009,14.67,0.18,13.0,60.0,1.00496,3.48,1.31,9.1,7.0,2010.0,1500.0,148.11,Douro,Merlot,4.0,18.3,4.4
5.14,0.727,0.101,8.32,0.084,46.0,156.0,1.00345,3.37,1.34,13.9,,2011.0,1000.0,28.23,Napa Valley,,33.0,18.2,2.9
14.03,1.238,,5.66,0.012,35.0,30.0,0.99864,3.88,0.79,13.9,3.0,2017.0,1000.0,78.84,Barossa,,14.0,19.9,3.8
11.11,0.459,0.005,12.17,0.182,6.0,14.0,1.00376,2.82,0.96,14.7,3.0,2022.0,750.0,95.78,Douro,Tempranillo,35.0,14.8,3.5
12.29,0.234,0.161,4.94,0.027,,,0.99008,3.64,0.6,9.1,3.0,2023.0,750.0,107.75,Bordeaux,Sangiovese,14.0,14.6,2.9
4.73,0.549,0.549,7.26,0.071,47.0,70.0,1.00463,3.59,0.54,12.4,6.0,2022.0,1000.0,87.47,Napa Valley,Tempranillo,22.0,18.3,3.4
15.17,0.359,,2.28,0.191,25.0,31.0,0.99736,3.8,0.91,11.3,6.0,2012.0,1500.0,9.39,Tuscany,Sangiovese,5.0,17.5,2.7
13.66,1.496,0.652,1.55,0.191,66.0,158.0,1.00084,,1.01,10.4,5.0,2019.0,1000.0,54.36,Douro,Merlot,20.0,15.6,2.6
6.84,1.316,0.224,14.48,0.119,10.0,79.0,1.00231,3.96,0.71,10.5,4.0,2012.0,1500.0,81.52,Bordeaux,Cabernet Sauvignon,22.0,,2.8
6.5,1.057,0.712,12.74,0.13,56.0,10.0,1.00078,4.14,0.98,10.9,7.0,2017.0,750.0,,Rioja,Merlot,15.0,14.5,4.9
6.52,1.41,0.237,10.8,0.095,30.0,142.0,0.99803,3.28,1.36,12.9,7.0,2017.0,375.0,57.79,Bordeaux,Pinot Noir,14.0,,3.9
7.85,1.309,0.325,6.84,,5.0,21.0,0.99715,3.12,0.97,12.2,7.0,2011.0,750.0,12.71,Bordeaux,Merlot,24.0,15.2,4.9
10.27,0.396,0.746,3.59,0.072,33.0,99.0,1.00258,3.39,1.16,,5.0,2017.0,750.0,19.16,Napa Valley,Sangiovese,35.0,15.9,3.6
9.25,1.441,0.65,3.36,0.138,65.0,55.0,0.99308,3.2,1.27,8.5,6.0,2020.0,500.0,64.36,Tuscany,Merlot,10.0,15.4,3.3
7.7,0.918,0.849,4.65,0.153,18.0,43.0,1.00452,3.66,,8.5,8.0,,500.0,26.85,Rioja,Merlot,14.0,16.1,3.8
11.23,1.315,0.658,8.78,0.16,49.0,87.0,1.00066,4.08,1.02,8.0,8.0,2022.0,500.0,88.59,Barossa,Cabernet Sauvignon,3.0,14.4,3.6
6.03,1.446,0.568,11.06,0.16,11.0,54.0,0.99299,2.99,1.27,14.8,5.0,2010.0,500.0,105.9,Barossa,Merlot,20.0,17.1,2.8
7.71,0.591,0.094,10.31,0.027,26.0,82.0,1.00104,2.94,1.46,8.0,8.0,2015.0,,121.68,Bordeaux,Cabernet Sauvignon,12.0,14.4,4.1
8.53,0.283,0.368,5.06,0.104,63.0,35.0,0.99795,3.16,1.43,8.7,7.0,2017.0,1000.0,36.42,Napa Valley,Syrah,21.0,18.8,3.0
9.52,0.457,0.265,14.38,0.021,59.0,56.0,1.00061,3.82,0.47,10.2,4.0,2012.0,375.0,31.78,,Pinot Noir,18.0,15.4,4.0
13.14,0.752,0.244,11.38,0.114,27.0,130.0,1.00152,,0.79,13.7,3.0,2017.0,750.0,22.85,Barossa,Cabernet Sauvignon,33.0,17.2,4.1
6.7,1.331,0.973,8.85,0.094,49.0,65.0,0.99131,2.94,0.69,14.7,6.0,,1500.0,,Rioja,Sangiovese,13.0,19.3,2.9
10.16,,0.393,9.64,0.179,33.0,103.0,0.99759,4.09,0.4,13.5,6.0,2010.0,375.0,108.32,Tuscany,Syrah,3.0,17.9,2.7
,0.13,0.892,6.99,,1.0,116.0,,3.91,1.06,12.8,5.0,2020.0,1500.0,12.49,Rioja,Cabernet Sauvignon,26.0,17.2,4.5
5.01,0.876,0.631,4.62,0.032,21.0,72.0,0.99481,2.83,1.18,11.6,6.0,,1500.0,140.94,Douro,Cabernet Sauvignon,28.0,15.9,3.6
11.18,0.738,0.795,6.11,0.037,,57.0,,3.71,1.32,8.6,7.0,2018.0,750.0,15.38,Douro,Pinot Noir,,16.0,
6.38,0.449,0.503,11.66,0.155,6.0,70.0,0.99554,3.88,0.45,14.7,8.0,2022.0,1000.0,84.86,Tuscany,Sangiovese,34.0,18.0,5.0
5.22,0.297,0.577,1.4,0.127,69.0,90.0,0.99681,3.32,1.35,13.3,7.0,2020.0,500.0,108.69,Barossa,Tempranillo,7.0,20.0,2.6
14.94,0.62,0.493,2.8,0.029,5.0,35.0,0.99823,2.9,1.07,12.5,5.0,2022.0,1000.0,131.68,,Tempranillo,15.0,18.0,4.2
15.12,1.516,0.195,1.83,,3.0,45.0,0.99823,2.91,1.14,13.3,7.0,2018.0,750.0,109.4,Napa Valley,Cabernet Sauvignon,35.0,17.3,5.0
13.39,0.598,0.722,1.76,0.143,53.0,10.0,0.99303,2.95,1.39,13.1,8.0,2014.0,750.0,121.85,Douro,Merlot,,18.4,3.1
7.85,0.888,0.281,13.01,0.024,23.0,17.0,1.00027,3.98,1.05,12.5,,2019.0,750.0,56.2,Bordeaux,Sangiovese,17.0,16.8,2.9
5.57,1.16,0.024,,0.166,53.0,122.0,0.99132,4.07,0.7,14.9,5.0,2013.0,375.0,123.71,Bordeaux,Syrah,,14.4,2.8
12.03,0.658,0.645,7.74,0.144,37.0,108.0,0.99208,2.97,1.29,14.3,4.0,2020.0,,19.38,Barossa,Merlot,12.0,17.4,3.3
9.34,1.558,,2.55,0.025,74.0,56.0,0.99004,3.13,,12.5,3.0,2015.0,1000.0,,Napa Valley,Merlot,3.0,,2.8
5.84,1.544,0.94,7.98,0.026,74.0,136.0,0.99175,3.03,0.34,12.9,4.0,2021.0,1500.0,85.76,Rioja,Sangiovese,25.0,15.1,4.2
9.95,0.493,0.954,7.73,0.197,17.0,65.0,0.9971,3.06,1.3,8.4,3.0,2016.0,1500.0,124.06,Napa Valley,Cabernet Sauvignon,24.0,18.1,
4.88,0.856,0.915,3.59,0.081,73.0,23.0,0.99909,,0.71,12.7,3.0,2014.0,1500.0,72.23,Bordeaux,Cabernet Sauvignon,29.0,15.2,3.8
14.5,0.565,0.37,7.19,0.08,1.0,37.0,1.00191,3.27,1.23,8.3,4.0,2020.0,750.0,99.39,,Cabernet Sauvignon,10.0,17.2,
7.35,0.542,0.015,6.7,0.164,51.0,87.0,0.9916,3.24,0.74,12.1,5.0,2022.0,1000.0,82.75,Douro,Cabernet Sauvignon,6.0,14.6,4.5
11.79,0.175,0.928,9.7,,45.0,139.0,1.00276,3.12,1.33,15.0,8.0,2019.0,750.0,111.89,Napa Valley,Tempranillo,30.0,16.7,4.0
7.93,1.022,0.428,9.96,0.197,4.0,118.0,1.00119,3.65,0.56,11.9,7.0,2018.0,375.0,19.59,Napa Valley,Cabernet Sauvignon,9.0,18.5,3.3
10.22,,0.967,1.83,0.153,62.0,23.0,0.99613,3.33,1.47,11.3,7.0,2012.0,1500.0,16.57,,Tempranillo,12.0,16.1,4.1
10.51,0.196,0.964,6.37,0.081,65.0,65.0,1.00399,3.84,1.24,10.2,8.0,2016.0,750.0,43.09,Rioja,Tempranillo,30.0,18.0,3.8
6.53,0.532,0.853,9.84,0.026,32.0,124.0,1.00486,3.09,0.44,8.8,3.0,2019.0,750.0,30.66,Barossa,Cabernet Sauvignon,6.0,18.8,3.6
15.17,1.464,0.294,8.14,0.158,34.0,16.0,0.99308,3.9,0.98,13.1,,2019.0,375.0,131.79,Barossa,Pinot Noir,35.0,19.6,2.8
